+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |  SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/manabutanaka0/icon                 | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7524/enter                   | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.008  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/naoki870/icon                      | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kenichihashimoto0/icon             | 0.192  | 0.192  | 0.192  | 0.192  | 0.192  | 0.192  | 0.192  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hsato0/icon                        | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.060  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/shimizukumiko0/icon                | 0.040  | 0.040  | 0.040  | 0.040  | 0.040  | 0.040  | 0.040  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/aishii0/icon                       | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yoko300/icon                       | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.028  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yoko310/icon                       | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7556/livecomment             | 0.216  | 0.216  | 0.216  | 0.216  | 0.216  | 0.216  | 0.216  | 0.000  | 1949.000  | 1949.000   | 1949.000     | 1949.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/watanabeyoichi0/icon               | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/satoyosuke0/icon                   | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7526/moderate                | 3.840  | 3.840  | 3.840  | 3.840  | 3.840  | 3.840  | 3.840  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7555/livecomment             | 0.196  | 0.196  | 0.196  | 0.196  | 0.196  | 0.196  | 0.196  | 0.000  | 1884.000  | 1884.000   | 1884.000     | 1884.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/nmaeda0/icon                       | 0.048  | 0.048  | 0.048  | 0.048  | 0.048  | 0.048  | 0.048  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
